sid,id,Original Item Name,Preprocessed Item Name,category1,category2,cat1|cat2,,,,,,,,
23,102985,Hayasi鬼滅隨身面紙12入,Hayasi鬼滅隨身面紙入,日用/紙品,衛生紙,日用/紙品|衛生紙,,,,,,,,
24,80794,*三幸 蔬菜高湯風味小米果,三幸蔬菜高湯風味小米果,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
25,52914,DANI喜馬拉雅山玫瑰鹽  100G,DANI喜馬拉雅山玫瑰鹽G,食品飲料,油/調味,食品飲料|油/調味,,,,,,,,
26,25182,日本洋蔥s,日本洋蔥s,食品飲料,罐頭/食材/烘焙,食品飲料|罐頭/食材/烘焙,,,,,,,,
27,102328,嘉義林聰明鮭魚頭禮盒,嘉義林聰明鮭魚頭禮盒,食品飲料,年菜/年貨大街,食品飲料|年菜/年貨大街,,,,,,,,
28,73754,真好家黑胡椒低鈉鹽60G,真好家黑胡椒低鈉鹽G,食品飲料,油/調味,食品飲料|油/調味,,,,,,,,
29,74695,香奈兒3.5-DA彈力緊緻玉手霜50ml,香奈兒DA彈力緊緻玉手霜ml,彩妝保養,專櫃保養品牌,彩妝保養|專櫃保養品牌,,,,,,,,
30,29589,真飽涼麵-蒜辣麻醬,真飽涼麵蒜辣麻醬,食品飲料,米/麵/泡麵,食品飲料|米/麵/泡麵,,,,,,,,
31,16995,鮮蝦水餃,鮮蝦水餃,生鮮,冷凍食品,生鮮|冷凍食品,,,,,,,,
32,86503,和歌山水蜜桃(13顆)s,和歌山水蜜桃s,生鮮,蔬菜水果,生鮮|蔬菜水果,,,,,,,,
33,33278,KA襯衫,KA襯衫,服飾,男裝,服飾|男裝,,,,,,,,
34,26327,日清金賞店鹽味炸粉100g,日清金賞店鹽味炸粉g,食品飲料,罐頭/食材/烘焙,食品飲料|罐頭/食材/烘焙,,,,,,,,
35,41679,升級蛋包飯,升級蛋包飯,食品飲料,美食韓國展,食品飲料|美食韓國展,,,,,,,,
36,53779,87-2014 自然優雅系列平口內褲-色印花-M,自然優雅系列平口內褲色印花M,內衣,男內衣褲,內衣|男內衣褲,,,,,,,,
37,54546,小菜/80,小菜,食品飲料,年菜/年貨大街,食品飲料|年菜/年貨大街,,,,,,,,
38,50214,GL分隔強化微波玻璃保鮮盒670ml,GL分隔強化微波玻璃保鮮盒ml,餐廚用品,保鮮盒/便當盒,餐廚用品|保鮮盒/便當盒,,,,,,,,
39,76054,麒麟一番榨罐裝啤酒500ml,麒麟一番榨罐裝啤酒ml,食品飲料,飲料,食品飲料|飲料,,,,,,,,
40,99684,21AP 極量緊膚型男組,AP極量緊膚型男組,彩妝保養,男士保養品牌,彩妝保養|男士保養品牌,,,,,,,,
41,34975,HON-DASHI干貝調味料120g,HONDASHI干貝調味料g,食品飲料,罐頭/食材/烘焙,食品飲料|罐頭/食材/烘焙,,,,,,,,
42,9018,哈根達斯巧克力冰淇淋100ml,哈根達斯巧克力冰淇淋ml,食品飲料,蛋糕甜點,食品飲料|蛋糕甜點,,,,,,,,
43,36034,日清芝麻油,日清芝麻油,食品飲料,油/調味,食品飲料|油/調味,,,,,,,,
44,27473,史奈德巧達起司三明治脆餅 226.8,史奈德巧達起司三明治脆餅,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
45,62527,新和益聖誕童話紗袋124g,新和益聖誕童話紗袋g,傢俱收納,壓縮袋/收納袋,傢俱收納|壓縮袋/收納袋,,,,,,,,
46,41997,Miss Dior髮香噴霧 30ml,MissDior髮香噴霧ml,彩妝保養,香氛保養品牌,彩妝保養|香氛保養品牌,,,,,,,,
47,61479,(區A)吉士豬肉堡,吉士豬肉堡,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
48,60055,迪奧超完美持久定,迪奧超完美持久定,彩妝保養,身體保養,彩妝保養|身體保養,,,,,,,,
49,1810,佳豆 娟豆腐,佳豆娟豆腐,食品飲料,罐頭/食材/烘焙,食品飲料|罐頭/食材/烘焙,,,,,,,,
50,57845,免稅金石堂圖書,免稅金石堂圖書,圖書影音,書店排行榜,圖書影音|書店排行榜,,,,,,,,
51,60853,Kilner 寬口玻璃密封罐350m,Kilner寬口玻璃密封罐m,傢俱收納,收納櫃/箱/盒,傢俱收納|收納櫃/箱/盒,,,,,,,,
52,59261,澳潔蕬頂級保加利亞奧圖玫瑰精油潤絲精250ml,澳潔蕬頂級保加利亞奧圖玫瑰精油潤絲精ml,個人清潔,洗髮精/潤護髮,個人清潔|洗髮精/潤護髮,,,,,,,,
53,36223,WALKERS蘇格蘭皇家高纖燕麥厚脆,WALKERS蘇格蘭皇家高纖燕麥厚脆,食品飲料,麥片/穀類,食品飲料|麥片/穀類,,,,,,,,
54,56311,絕對完美極緻活化,絕對完美極緻活化,彩妝保養,身體保養,彩妝保養|身體保養,,,,,,,,
55,76763,武士道雙層風味咖啡95g,武士道雙層風味咖啡g,食品飲料,咖啡,食品飲料|咖啡,,,,,,,,
56,66123,澳洲和牛肉梅花牛肉火鍋片,澳洲和牛肉梅花牛肉火鍋片,生鮮,生鮮肉品,生鮮|生鮮肉品,,,,,,,,
57,30029,南瓜塊,南瓜塊,生鮮,蔬菜水果,生鮮|蔬菜水果,,,,,,,,
58,63556,(單)牛河,牛河,生鮮,生鮮肉品,生鮮|生鮮肉品,,,,,,,,
59,17574,資生堂紅妍肌活露,資生堂紅妍肌活露,彩妝保養,醫美保養品牌,彩妝保養|醫美保養品牌,,,,,,,,
60,48463,日清椰酥餅乾-椰子(發酵奶油)75g,日清椰酥餅乾椰子g,食品飲料,進口零食,食品飲料|進口零食,,,,,,,,
61,2270,魅光幻眸眼采盒-11,魅光幻眸眼采盒,彩妝保養,眼眉彩,彩妝保養|眼眉彩,,,,,,,,
62,5903,MACRO天然喜馬拉雅山岩鹽(罐裝),MACRO天然喜馬拉雅山岩鹽,食品飲料,油/調味,食品飲料|油/調味,,,,,,,,
63,107095,肉燥麵-碗85g,肉燥麵碗g,食品飲料,米/麵/泡麵,食品飲料|米/麵/泡麵,,,,,,,,
64,78115,新艷陽‧夏 防晒霜-BE,新艷陽‧夏防晒霜BE,保健/醫療,輔具/日常護理/藥品,保健/醫療|輔具/日常護理/藥品,,,,,,,,
65,92831,快樂牛漢堡乾酪切片,快樂牛漢堡乾酪切片,食品飲料,罐頭/食材/烘焙,食品飲料|罐頭/食材/烘焙,,,,,,,,
66,63320,陶瓷餐具,陶瓷餐具,餐廚用品,碗盤餐具,餐廚用品|碗盤餐具,,,,,,,,
67,22487,OSIM按摩椅||家庭電器,OSIM按摩椅||家庭電器,家電,美容電器,家電|美容電器,,,,,,,,
68,80161,七尾製?法蘭酥夾心抹茶風味66g,七尾製?法蘭酥夾心抹茶風味g,食品飲料,進口零食,食品飲料|進口零食,,,,,,,,
69,33174,MONTAGUT||名店休閒服,MONTAGUT||名店休閒服,服飾,快時尚嚴選店,服飾|快時尚嚴選店,,,,,,,,
70,105543,BOYLAN蔗糖汽水-薑汁汽水355,BOYLAN蔗糖汽水薑汁汽水,食品飲料,飲料,食品飲料|飲料,,,,,,,,
71,71006,伊右衛門焙茶飲料,伊右衛門焙茶飲料,食品飲料,飲料,食品飲料|飲料,,,,,,,,
72,57577,TWININGS晨光草原甘菊花茶 1,TWININGS晨光草原甘菊花茶,食品飲料,飲料,食品飲料|飲料,,,,,,,,
73,26451,GHC002-BL-L,GHCBLL,內衣,男內衣褲,內衣|男內衣褲,,,,,,,,
74,25221,子彈蓮霧,子彈蓮霧,生鮮,蔬菜水果,生鮮|蔬菜水果,,,,,,,,
75,43202,Aohata藍莓果醬(無蔗糖)250,Aohata藍莓果醬,食品飲料,罐頭/食材/烘焙,食品飲料|罐頭/食材/烘焙,,,,,,,,
76,31040,IBlues,IBlues,服飾,推薦品牌,服飾|推薦品牌,,,,,,,,
77,37560,東鳩鳳梨果實焦糖脆果65g,東鳩鳳梨果實焦糖脆果g,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
78,48597,獅王兒童牙膏-橘子45g,獅王兒童牙膏橘子g,個人清潔,牙膏牙刷,個人清潔|牙膏牙刷,,,,,,,,
79,45796,牡丹與胭紅麂絨 潤膚乳 250ml,牡丹與胭紅麂絨潤膚乳ml,彩妝保養,身體保養,彩妝保養|身體保養,,,,,,,,
80,811,天仁茗茶茉香沁綠(蜜釀),天仁茗茶茉香沁綠,食品飲料,飲料,食品飲料|飲料,,,,,,,,
81,74334,77新貴派（花生）,新貴派,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
82,82912,黑松茶花綠茶 580ML,黑松茶花綠茶ML,食品飲料,飲料,食品飲料|飲料,,,,,,,,
83,29019,MONDARIZ天然礦泉水500ml,MONDARIZ天然礦泉水ml,食品飲料,礦泉水,食品飲料|礦泉水,,,,,,,,
84,56192,萊康有機檸檬薑夾心糖,萊康有機檸檬薑夾心糖,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
85,81185,3日式豬排咖哩飯,日式豬排咖哩飯,生鮮,冷凍食品,生鮮|冷凍食品,,,,,,,,
86,69879,逆齡肌密精萃粉底-B10,逆齡肌密精萃粉底B,彩妝保養,底妝,彩妝保養|底妝,,,,,,,,
87,67897,松風煎餅102g,松風煎餅g,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
88,53665,原味12入,原味入,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
89,94896,卡士達蛋糕冰淇淋卷焦糖布丁風味66g,卡士達蛋糕冰淇淋卷焦糖布丁風味g,食品飲料,蛋糕甜點,食品飲料|蛋糕甜點,,,,,,,,
90,570,台酒麻油雞碗麵200g,台酒麻油雞碗麵g,食品飲料,米/麵/泡麵,食品飲料|米/麵/泡麵,,,,,,,,
91,26289,真好家牛肉滷味香 (盒),真好家牛肉滷味香,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
92,75805,卡士達泡芙63G,卡士達泡芙G,食品飲料,蛋糕甜點,食品飲料|蛋糕甜點,,,,,,,,
93,45102,角落小夥伴巧克力脆球糖16G,角落小夥伴巧克力脆球糖G,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
94,15098,日新堂草莓味蛋糕180g,日新堂草莓味蛋糕g,食品飲料,蛋糕甜點,食品飲料|蛋糕甜點,,,,,,,,
95,45413,DEVON英國傳統鮮奶油醬(中)17,DEVON英國傳統鮮奶油醬,食品飲料,油/調味,食品飲料|油/調味,,,,,,,,
96,593,樂米穀場-池上新月豔姬米,樂米穀場池上新月豔姬米,食品飲料,米/麵/泡麵,食品飲料|米/麵/泡麵,,,,,,,,
97,68634,激光極淨白機能水,激光極淨白機能水,彩妝保養,專櫃保養品牌,彩妝保養|專櫃保養品牌,,,,,,,,
98,20453,立夢早乙女檸檬味挑戰超酸糖,立夢早乙女檸檬味挑戰超酸糖,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
99,12070,奢華緞面水光染唇釉-617永浴愛河,奢華緞面水光染唇釉永浴愛河,彩妝保養,專櫃保養品牌,彩妝保養|專櫃保養品牌,,,,,,,,
100,77731,茶裏王青心烏龍茶,茶裏王青心烏龍茶,食品飲料,飲料,食品飲料|飲料,,,,,,,,
101,27184,膜力BB霜,膜力BB霜,彩妝保養,底妝,彩妝保養|底妝,,,,,,,,
102,99777,智利蘋果,智利蘋果,生鮮,蔬菜水果,生鮮|蔬菜水果,,,,,,,,
103,70337,OTTOGI不倒翁韓式乾拌冬粉(袋裝,OTTOGI不倒翁韓式乾拌冬粉,食品飲料,米/麵/泡麵,食品飲料|米/麵/泡麵,,,,,,,,
104,74369,盛美家減糖草莓果醬361g,盛美家減糖草莓果醬g,食品飲料,罐頭/食材/烘焙,食品飲料|罐頭/食材/烘焙,,,,,,,,
105,68918,99茶樹菇炖排骨湯,茶樹菇炖排骨湯,食品飲料,罐頭/食材/烘焙,食品飲料|罐頭/食材/烘焙,,,,,,,,
106,3495,山武大輪卷(4入) 170G,山武大輪卷G,生鮮,冷凍食品,生鮮|冷凍食品,,,,,,,,
107,30655,6吋蛋糕,吋蛋糕,食品飲料,蛋糕甜點,食品飲料|蛋糕甜點,,,,,,,,
108,60896,大昌胡椒鹽(肉料理用)225G,大昌胡椒鹽G,食品飲料,罐頭/食材/烘焙,食品飲料|罐頭/食材/烘焙,,,,,,,,
109,15798,優品草本驅蚊貼片(加強型)12枚入,優品草本驅蚊貼片枚入,保健/醫療,口罩/抗菌/防蚊,保健/醫療|口罩/抗菌/防蚊,,,,,,,,
110,43766,青森農協 睡魔祭,青森農協睡魔祭,宗教/藝術,香品/祈福,宗教/藝術|香品/祈福,,,,,,,,
111,37330,全新全能奇蹟金萃潔顏油-450ml,全新全能奇蹟金萃潔顏油ml,個人清潔,洗臉卸妝,個人清潔|洗臉卸妝,,,,,,,,
112,52864,墨魚香腸,墨魚香腸,生鮮,冷凍食品,生鮮|冷凍食品,,,,,,,,
113,102873,原味5入,原味入,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
114,99455,築地大將招牌水滴壽司,築地大將招牌水滴壽司,食品飲料,米/麵/泡麵,食品飲料|米/麵/泡麵,,,,,,,,
115,39637,花蓮廣盛堂羊羹-紅豆100g,花蓮廣盛堂羊羹紅豆g,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
116,101081,沁心薄荷2g*25小包,沁心薄荷g小包,食品飲料,茶葉/茶包,食品飲料|茶葉/茶包,,,,,,,,
117,93525,日本弘前蘋果禮盒,日本弘前蘋果禮盒,生鮮,年菜/年貨大街,生鮮|年菜/年貨大街,,,,,,,,
118,34519,晶華-松露烤雞義大利麵,晶華松露烤雞義大利麵,食品飲料,米/麵/泡麵,食品飲料|米/麵/泡麵,,,,,,,,
119,74455,泳具配件飾品其他,泳具配件飾品其他,服飾,泳裝/比基尼,服飾|泳裝/比基尼,,,,,,,,
120,38646,大漢酵素,大漢酵素,保健/醫療,機能保健,保健/醫療|機能保健,,,,,,,,
121,15140,雀巢咖啡膠囊,雀巢咖啡膠囊,食品飲料,咖啡,食品飲料|咖啡,,,,,,,,
122,63318,服裝,服裝,服飾,推薦品牌,服飾|推薦品牌,,,,,,,,
123,22937,魚博-鮮魚加工品,魚博鮮魚加工品,生鮮,生鮮肉品,生鮮|生鮮肉品,,,,,,,,
124,54510,(選)雪月仙貝,雪月仙貝,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
125,35790,莆田 PUTIEN,莆田PUTIEN,票券,美食餐券,票券|美食餐券,,,,,,,,
126,26600,理研海帶芽湯,理研海帶芽湯,食品飲料,進口零食,食品飲料|進口零食,,,,,,,,
127,67988,瑞吉諾 義大利麵綜合調味料 75G,瑞吉諾義大利麵綜合調味料G,食品飲料,油/調味,食品飲料|油/調味,,,,,,,,
128,2894,泰山純水 1500ml,泰山純水ml,食品飲料,礦泉水,食品飲料|礦泉水,,,,,,,,
129,103533,履歷綜合萵苣,履歷綜合萵苣,生鮮,蔬菜水果,生鮮|蔬菜水果,,,,,,,,
130,22943,ORSON  北海道帆立貝(辣味),ORSON北海道帆立貝,生鮮,冷凍食品,生鮮|冷凍食品,,,,,,,,
131,101960,SB法國煙燻培根4kg,SB法國煙燻培根kg,生鮮,生鮮肉品,生鮮|生鮮肉品,,,,,,,,
132,93013,瑞士蓮經典薄片純味巧克力 125G,瑞士蓮經典薄片純味巧克力G,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
133,28279,有機蠔菇,有機蠔菇,食品飲料,有機食品,食品飲料|有機食品,,,,,,,,
134,37745,雞蛋花香水-100ml,雞蛋花香水ml,彩妝保養,香水,彩妝保養|香水,,,,,,,,
135,35460,桂格快煮燕麥片800g,桂格快煮燕麥片g,食品飲料,麥片/穀類,食品飲料|麥片/穀類,,,,,,,,
136,55419,和生御品流心月餅6入,和生御品流心月餅入,食品飲料,蛋糕甜點,食品飲料|蛋糕甜點,,,,,,,,
137,55265,福映豐月禮盒(奶,福映豐月禮盒,食品飲料,蛋糕甜點,食品飲料|蛋糕甜點,,,,,,,,
138,90186,卡恩迪許水果糖櫻桃萊姆夾心 175G,卡恩迪許水果糖櫻桃萊姆夾心G,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
139,17777,蔥燒半筋半肉牛肉麵,蔥燒半筋半肉牛肉麵,食品飲料,米/麵/泡麵,食品飲料|米/麵/泡麵,,,,,,,,
140,99613,極效活萃澎潤精華,極效活萃澎潤精華,彩妝保養,專櫃保養品牌,彩妝保養|專櫃保養品牌,,,,,,,,
141,66215,瓦城.外送-瓦城泰統-UBEREATS,瓦城外送瓦城泰統UBEREATS,票券,美食餐券,票券|美食餐券,,,,,,,,
142,37781,2紅燒排骨麵,紅燒排骨麵,食品飲料,米/麵/泡麵,食品飲料|米/麵/泡麵,,,,,,,,
143,86971,怡麗絲爾彈潤美肌組2103-清爽,怡麗絲爾彈潤美肌組清爽,彩妝保養,專櫃保養品牌,彩妝保養|專櫃保養品牌,,,,,,,,
144,104344,玩饗滋味墨西哥青辣椒片380g,玩饗滋味墨西哥青辣椒片g,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
145,79575,精品頂級皇家免洗褲淑女型,精品頂級皇家免洗褲淑女型,內衣,女內著,內衣|女內著,,,,,,,,
146,77390,Polo Ralph Lauren||一流精品、配件,PoloRalphLauren||一流精品、配件,服飾,休閒牛仔服飾,服飾|休閒牛仔服飾,,,,,,,,
147,106667,Agnesi拿坡里蕃茄義大利麵醬,Agnesi拿坡里蕃茄義大利麵醬,食品飲料,油/調味,食品飲料|油/調味,,,,,,,,
148,79100,卡迪那洋芋片牛排口味,卡迪那洋芋片牛排口味,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
149,12257,代收手續費１２,代收手續費１２,加值/軟體,數位加值/遊戲,加值/軟體|數位加值/遊戲,,,,,,,,
150,106260,森林蜂蜜,森林蜂蜜,食品飲料,蜂蜜/蜂製品/醋,食品飲料|蜂蜜/蜂製品/醋,,,,,,,,
151,17739,獅王時尚馬卡龍牙線40m,獅王時尚馬卡龍牙線m,個人清潔,牙膏牙刷,個人清潔|牙膏牙刷,,,,,,,,
152,5125,ORO去皮整顆蕃茄400g,ORO去皮整顆蕃茄g,生鮮,蔬菜水果,生鮮|蔬菜水果,,,,,,,,
153,5641,PANDORA,PANDORA,服飾,飾品配件,服飾|飾品配件,,,,,,,,
154,93703,Higher Energy噴式淡香水-100ml,HigherEnergy噴式淡香水ml,彩妝保養,香水,彩妝保養|香水,,,,,,,,
155,22677,J＇adore親吻香氛,J＇adore親吻香氛,彩妝保養,香氛保養品牌,彩妝保養|香氛保養品牌,,,,,,,,
156,55282,雀巢金牌香醇即溶咖啡120g,雀巢金牌香醇即溶咖啡g,食品飲料,咖啡,食品飲料|咖啡,,,,,,,,
157,88607,隆昌動福鮮力蛋(紅),隆昌動福鮮力蛋,生鮮,生鮮肉品,生鮮|生鮮肉品,,,,,,,,
158,11666,甜豆200G,甜豆G,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
159,105247,達樂迪士尼汽車總動員面250g,達樂迪士尼汽車總動員面g,食品飲料,米/麵/泡麵,食品飲料|米/麵/泡麵,,,,,,,,
160,50490,超防水斜角眉筆芯-深灰 Saddle,超防水斜角眉筆芯深灰Saddle,彩妝保養,眼眉彩,彩妝保養|眼眉彩,,,,,,,,
161,36673,瑞士蓮 LINDOR夾餡榛果口味巧克,瑞士蓮LINDOR夾餡榛果口味巧克,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
162,12891,香奈兒超炫耀獅子絲絨唇膏-#58 美麗人生,香奈兒超炫耀獅子絲絨唇膏#美麗人生,彩妝保養,唇頰彩,彩妝保養|唇頰彩,,,,,,,,
163,66654,樺達261元,樺達元,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
164,34895,安心巧廚春雞,安心巧廚春雞,生鮮,冷凍食品,生鮮|冷凍食品,,,,,,,,
165,71789,紅瓦屋關東煮,紅瓦屋關東煮,生鮮,冷凍快配,生鮮|冷凍快配,,,,,,,,
166,5834,芥茉豆果子130g,芥茉豆果子g,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
167,42507,玫翠思玫瑰馬賽液體皂,玫翠思玫瑰馬賽液體皂,個人清潔,身體清潔,個人清潔|身體清潔,,,,,,,,
168,97607,路奇諾 有枝糖漬紅櫻桃 365G,路奇諾有枝糖漬紅櫻桃G,食品飲料,進口零食,食品飲料|進口零食,,,,,,,,
169,38589,AEVEA,AEVEA,outlet名品匯,國際精品,outlet名品匯|國際精品,,,,,,,,
170,69415,白豆花紅豆+綠豆+薏仁,白豆花紅豆綠豆薏仁,食品飲料,麥片/穀類,食品飲料|麥片/穀類,,,,,,,,
171,81155,21MD 日夜奇蹟水經典組,MD日夜奇蹟水經典組,個人清潔,洗臉卸妝,個人清潔|洗臉卸妝,,,,,,,,
172,106359,阿舍外省乾麵(油蔥)5入,阿舍外省乾麵入,食品飲料,米/麵/泡麵,食品飲料|米/麵/泡麵,,,,,,,,
173,103356,明治 代可可脂綜合巧克力-,明治代可可脂綜合巧克力,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
174,37412,Yakult Yakult優格碳酸飲,YakultYakult優格碳酸飲,食品飲料,飲料,食品飲料|飲料,,,,,,,,
175,71250,統一瑞穗全脂鮮乳290ml,統一瑞穗全脂鮮乳ml,食品飲料,飲料,食品飲料|飲料,,,,,,,,
176,35037,日清製粉鬆餅糖漿200g,日清製粉鬆餅糖漿g,食品飲料,蛋糕甜點,食品飲料|蛋糕甜點,,,,,,,,
177,77508,&,&,看看買,快閃活動,看看買|快閃活動,,,,,,,,
178,94113,伊加利照燒醬235ml,伊加利照燒醬ml,食品飲料,油/調味,食品飲料|油/調味,,,,,,,,
179,326,濱田鐵.膠原威化餅40枚,濱田鐵膠原威化餅枚,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
180,91394,辣椒風味橄欖油,辣椒風味橄欖油,食品飲料,油/調味,食品飲料|油/調味,,,,,,,,
181,76719,天仁菊花普洱茶 2g*50,天仁菊花普洱茶g,食品飲料,茶葉/茶包,食品飲料|茶葉/茶包,,,,,,,,
182,32768,香奈兒COCO晶亮水唇膏-#156蔓越莓,香奈兒COCO晶亮水唇膏#蔓越莓,彩妝保養,專櫃彩妝品牌,彩妝保養|專櫃彩妝品牌,,,,,,,,
183,74774,囍瑞100%有機黑巧克力,囍瑞有機黑巧克力,食品飲料,蛋糕甜點,食品飲料|蛋糕甜點,,,,,,,,
184,18883,米歇爾柯茲巧克力塔,米歇爾柯茲巧克力塔,食品飲料,蛋糕甜點,食品飲料|蛋糕甜點,,,,,,,,
185,97215,16-8740 高雅純潔系列 包覆集中內衣-優雅黑04-80-C,高雅純潔系列包覆集中內衣優雅黑C,內衣,女內著,內衣|女內著,,,,,,,,
186,82595,美國青花菜,美國青花菜,生鮮,蔬菜水果,生鮮|蔬菜水果,,,,,,,,
187,38029,TOMMY’S BAKING軟質餅乾,TOMMY’SBAKING軟質餅乾,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
188,90667,A++金牌肉燥飯,A金牌肉燥飯,食品飲料,米/麵/泡麵,食品飲料|米/麵/泡麵,,,,,,,,
189,100950,奇蹟活源水精華1,奇蹟活源水精華,彩妝保養,專櫃保養品牌,彩妝保養|專櫃保養品牌,,,,,,,,
190,59360,怡麗絲爾彈潤時控精粹,怡麗絲爾彈潤時控精粹,彩妝保養,專櫃保養品牌,彩妝保養|專櫃保養品牌,,,,,,,,
191,491,伊加利烏酢-中濃500ML,伊加利烏酢中濃ML,,,|,,,,,,,,
192,63449,格力高9袋入POCKY草莓棒122.4g,格力高袋入POCKY草莓棒g,,,|,,,,,,,,
193,14561,FIJI斐濟天然礦泉水500ml,FIJI斐濟天然礦泉水ml,,,|,,,,,,,,
194,61662,茉莉茶園-蘋果紅茶,茉莉茶園蘋果紅茶,,,|,,,,,,,,
195,26,HATO,HATO,,,|,,,,,,,,
196,3200,花枝什錦炸,花枝什錦炸,,,|,,,,,,,,
187,85818,鶴壽庭 鱈魚風味芝麻海苔,鶴壽庭鱈魚風味芝麻海苔,,,|,,,,,,,,
188,94800,統一 瑞穗巧克力調味乳,統一瑞穗巧克力調味乳,,,|,,,,,,,,
189,102491,SB頂級法國帶皮火腿3kg,SB頂級法國帶皮火腿kg,,,|,,,,,,,,
